property_id,price,predicted_price,size_sqm,location,project,cluster_label,timestamp
8395699,1469000,1531693.051338018,80,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
8339882,1760000,1998072.4801334385,146,UAE,,Low-Value,2025-05-18 14:40:28
8345687,2300000,2743229.655814206,154,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
8339941,630000,-60722.65727726696,45,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8312563,470000,117410.83079058165,26,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8314934,910000,806666.4242425412,47,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8302570,980000,635259.0312249907,60,UAE,,Low-Value,2025-05-18 14:40:28
8320135,2500000,2781255.1997662904,145,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8373942,3900000,5470700.661528608,90,UAE,,Low-Value,2025-05-18 14:40:28
8280603,1300000,1350976.097738754,64,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8281369,900000,857422.0161927324,45,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8370243,1419000,1372713.905827308,89,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
8341393,824000,1648106.7544444222,30,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8391849,931999,905115.4546744572,49,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:28
8312257,2650000,4365499.108316872,67,UAE,Aldar,Low-Value,2025-05-18 14:40:28
8373576,9000000,8116555.5818703845,251,UAE,Aldar,Mid-Value,2025-05-18 14:40:28
8373281,6900000,6694201.962936746,202,UAE,,Mid-Value,2025-05-18 14:40:28
8284165,950000,492765.7168529504,69,UAE,Bloom Holding,Low-Value,2025-05-18 14:40:28
8316844,1350000,1358923.3773677684,75,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:38
8296201,1500000,2693309.5149511816,207,UAE,,Low-Value,2025-05-18 14:40:38
8359124,1700000,1767202.2473743036,91,UAE,Burtville Development,Low-Value,2025-05-18 14:40:38
8324929,1200000,1029085.5283881687,78,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:38
8287172,10743682,9175489.516258234,248,UAE,,Mid-Value,2025-05-18 14:40:38
8283334,1300000,1376854.542510666,63,UAE,Aldar,Low-Value,2025-05-18 14:40:38
8285016,1350000,2416648.1763099115,198,UAE,,Low-Value,2025-05-18 14:40:38
8307782,975000,473010.39386261115,83,UAE,,Low-Value,2025-05-18 14:40:38
8361778,3560000,4446590.331262248,103,UAE,Aldar,Low-Value,2025-05-18 14:40:38
8331200,1650000,1963085.7821625397,71,UAE,Aldar,Low-Value,2025-05-18 14:40:38
8248647,1299999,1326613.3951013675,65,UAE,Aldar,Low-Value,2025-05-18 14:40:38
8320334,798000,196469.59281761013,90,UAE,,Low-Value,2025-05-18 14:40:38
8298952,1450000,1408194.4230651315,98,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:38
8343809,1834500,1987389.2824417967,101,UAE,Q Properties,Low-Value,2025-05-18 14:40:38
8332238,930000,729279.1856891848,55,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:38
8326662,2857260,3376608.6081456514,107,UAE,Cosmo Develpments,Low-Value,2025-05-18 14:40:38
8305740,840000,591728.0452098064,47,UAE,Baraka Real Estate Development,Low-Value,2025-05-18 14:40:38
8281026,3500000,3817613.1926022004,151,UAE,,Low-Value,2025-05-18 14:40:38
8326413,1730000,1800166.046766298,121,UAE,Burtville Development,Low-Value,2025-05-18 14:40:38
8285519,870163,1070436.0252895197,39,UAE,Aldar,Low-Value,2025-05-18 14:40:38
8329884,1600000,1670499.7412650157,131,UAE,,Low-Value,2025-05-18 14:40:47
8244730,1500000,1797459.1716107856,65,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8235739,1800000,1821307.9817336183,115,UAE,,Low-Value,2025-05-18 14:40:47
8234186,1500000,1544402.799315271,76,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8286477,880888,837050.6343472088,44,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8272368,2200000,2558997.3423137013,156,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8330660,1570000,1496704.3184836162,111,UAE,,Low-Value,2025-05-18 14:40:47
8249591,1300000,1179454.9990324061,85,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:47
8340840,791977,278235.2345150877,86,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:47
8326496,1030000,789629.3196966406,102,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:47
8288286,1550000,1582870.9790096637,80,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8286984,850000,577120.8189334692,48,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8278789,1350000,1470526.1854301598,64,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8327074,1490000,2030084.7046472784,160,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:47
8234055,2000000,2118385.8598007206,124,UAE,Aldar,Low-Value,2025-05-18 14:40:47
8326294,1140000,1215600.3985941866,137,UAE,,Low-Value,2025-05-18 14:40:47
8298196,950000,426918.79378881585,83,UAE,,Low-Value,2025-05-18 14:40:47
8254352,1990000,2435194.1051911544,154,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:40:47
8322307,600000,-181411.21236740472,54,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:40:47
8247237,1299999,1049783.8303142674,94,UAE,,Low-Value,2025-05-18 14:40:47
8282980,730000,255433.02065006318,105,UAE,,Low-Value,2025-05-18 14:41:05
8195255,1999990,3095696.759671429,209,UAE,,Low-Value,2025-05-18 14:41:05
8238211,2300000,2489378.4218767807,120,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8209841,650000,-58587.021472984925,56,UAE,Reportage Properties Developer,Low-Value,2025-05-18 14:41:05
8309948,2000000,2417939.807757222,162,UAE,,Low-Value,2025-05-18 14:41:05
8231373,480000,-272135.8604470603,94,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8226582,1463490,1370363.8103779126,107,UAE,Bloom Holding,Low-Value,2025-05-18 14:41:05
8227724,900000,338374.7521696603,74,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8227407,2000000,2331557.549478315,142,UAE,Radiant Real Estate,Low-Value,2025-05-18 14:41:05
8286914,470000,-604808.3897039331,45,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8238075,2400000,2669850.621015176,144,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8213467,1500000,1829176.448504379,64,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8235348,1450000,1291715.6128835212,96,UAE,,Low-Value,2025-05-18 14:41:05
8209961,1050000,907771.1460734615,121,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8174086,1000000,1308720.6827475997,43,UAE,Aldar,Low-Value,2025-05-18 14:41:05
8263775,2140000,2350832.2086237017,107,UAE,Cosmo Develpments,Low-Value,2025-05-18 14:41:05
